place,latitude,longitude,1970,1980,1990,2000,2010
dyker heights,40.6215,-74.0096,64911.00,59094.00,55306.00,61271.00,62246.00
Bensonhurst,40.6018,-73.994,85060.00,77536.00,74997.00,86065.00,90991.00
Bath Beach,40.6046,-74.0043,85060.00,77536.00,74997.00,86065.00,90991.00
Borough Park,40.634,-73.9968,83151.00,77950.00,80009.00,92523.00,95691.00
Ocean Parkway,40.5763,-73.9685,83151.00,77950.00,80009.00,92523.00,95691.00
Coney Island,40.5779,-73.994,48875.00,50015.00,51298.00,53060.00,52139.00
Brighton Beach,40.5779,-73.9596,48875.00,50015.00,51298.00,53060.00,52139.00
Flatbush,40.6521,-73.959,68521.00,71930.00,79913.00,84403.00,80332.00
Midwood,40.6603,-73.9473,68521.00,71930.00,79913.00,84403.00,80332.00
Sheepshead Bay,40.5868,-73.9542,82408.00,74786.00,71739.00,80160.00,79825.00
Gerritsen Beach,40.587,-73.9228,82408.00,74786.00,71739.00,80160.00,79825.00
Brownsville,40.6609,-73.9201,61295.00,36901.00,42462.00,42672.00,43234.00
Ocean Hill,40.6783,-73.9108,61295.00,36901.00,42462.00,42672.00,43234.00
East Flatbush,40.6537,-73.9304,49832.00,51532.00,53754.00,55251.00,51751.00
Rugby,40.6408302,-73.9674886,49832.00,51532.00,53754.00,55251.00,51751.00
Farragut,40.6209,-74.1652,49832.00,51532.00,53754.00,55251.00,51751.00
Melrose,40.8246,-73.9104,46186.00,26147.00,25738.00,27386.00,30499.00
Mott Haven,40.809,-73.9229,46186.00,26147.00,25738.00,27386.00,30499.00
Port Morris,40.8015,-73.9096,46186.00,26147.00,25738.00,27386.00,30499.00
Wakefield,40.8979,-73.8524,67505.00,64113.00,64810.00,74539.00,76172.00
Williamsbridge,40.8787,-73.8709,67505.00,64113.00,64810.00,74539.00,76172.00
Pelham Pkwy,40.9098,-73.8079,35327.00,33027.00,32614.00,36902.00,37744.00
Morris Park,40.8523,-73.8535,35327.00,33027.00,32614.00,36902.00,37744.00
Laconia,40.5868,-74.0894,35327.00,33027.00,32614.00,36902.00,37744.00
Throgs Nk.,40.8226,-73.8196,28316.00,35505.00,36031.00,38649.00,40131.00
Co-op City,40.8751,-73.8246,28316.00,35505.00,36031.00,38649.00,40131.00
Pelham Bay,40.8525,-73.8279,28316.00,35505.00,36031.00,38649.00,40131.00
Soundview,40.816,-73.8605,83221.00,83814.00,77985.00,83930.00,86149.00
Parkchester,40.836,-73.8596,83221.00,83814.00,77985.00,83930.00,86149.00
Riverdale,40.9006,-73.9064,34514.00,32758.00,32343.00,33777.00,33910.00
Kingsbridge,40.8787,-73.9051,34514.00,32758.00,32343.00,33777.00,33910.00
Marble Hill,40.8747,-73.9119,34514.00,32758.00,32343.00,33777.00,33910.00
Bedford Park,40.8725,-73.8875,37921.00,38942.00,42863.00,47137.00,46429.00
Norwood,40.6817,-73.8791,37921.00,38942.00,42863.00,47137.00,46429.00
Fordham,40.8616,-73.8904,37921.00,38942.00,42863.00,47137.00,46429.00
East Tremont,40.8454,-73.891,57069.00,32508.00,34031.00,37844.00,41634.00
Belmont,40.6753,-73.8623,57069.00,32508.00,34031.00,37844.00,41634.00
University Hts,40.8619,-73.9135,60904.00,53998.00,59218.00,64157.00,64100.00
Mt. Hope,40.8486,-73.9068,60904.00,53998.00,59218.00,64157.00,64100.00
Highbridge,40.8369,-73.9271,72104.00,57156.00,59981.00,69782.00,73221.00
Concourse Village,40.8241,-73.9193,72104.00,57156.00,59981.00,69782.00,73221.00
Morrisania,40.8293,-73.9065,75318.00,26818.00,28581.00,34287.00,39881.00
Crotona Park East,40.8367,-73.8915,75318.00,26818.00,28581.00,34287.00,39881.00
Hunts Point,40.8208,-73.8908,49747.00,17200.00,19722.00,23412.00,26123.00
Longwood,40.8163,-73.8962,49747.00,17200.00,19722.00,23412.00,26123.00
