a,b,c,d,e,f
1.554078999999999988e+00,3.756769999999999943e+00,-7.175773999999999653e+00,-5.476783000000000179e+00,-1.797228000000000048e+00,9.089876000000000289e+00
3.826000000000000234e-02,-2.420707999999999860e+00,4.021218000000000181e+00,-1.392219000000000095e+00,3.198979000000000017e+00,-3.150437999999999850e+00
1.553921000000000108e+00,3.756746000000000141e+00,-7.175517000000000145e+00,-5.476312000000000069e+00,-1.797214000000000089e+00,9.089577999999999491e+00
